MP.name,Nature.of.membership,Start.of.term,End.of.term,State,Constituency,Political.party,Gender,Educational.qualifications,Educational.qualifications...details,Age,Debates,Private.Member.Bills,Questions,Attendance,Notes,National.Debates.average,National.Private.Member.Bills.average,National.Questions.average,National.Attendance.average,State.s.Debates.average,State.s.Private.Member.Bills..average,State.s.Questions.average,State.s.Attendance.average,Minister,MajorCriminal,Category,Immoveable,Moveable,MOV,Entitlement,Released,AvailablewInterest,Recommended,Sanctioned,Expenditure,ExpenditureReleasedPerc,Unspent
Ajay Maken,Elected,18-May-09,In office,Delhi,New Delhi,Indian National Congress,Male,Graduate,B.A.; Educated at University of Delhi,50,0,0,0,37%,"This MP was a Minister. He tendered his resignation on 16th Jun, 2013. Ministers represent the government in debates, so we do not report their participation. Participation and attendance details for this MP are thus available only from 5th Aug, 2013. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)",4.3,0,35,76%,1.7,0,32,84%,1,0,GEN,16700000,25400000,0.2454962,19,23,26.1,54.38,25.57,23.08,100.35,3.02
Ajit Singh,Elected,18-May-09,In office,Uttar Pradesh,Baghpat,Rashtriya Lok Dal,Male,Post Graduate,"B.Sc., B. Tech. and M.S.; Educated at Lucknow University, Lucknow; I.I.T. Kharagpur and Illinois Institute of Technology, Chicago (U.S.A.) ",75,2,0,0,44%,"This MP was appointed a minister on 18th Dec, 2011.  Ministers represent the government, so we do not report their participation.  Participation and attendance details for this MP are thus available only till 16th Dec, 2011. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)",20.2,0.4,160,76%,24.4,0.3,132,79%,1,0,GEN,41700000,15600000,0.102692,19,19.06,19.78,19.92,19.23,19.78,103.76,0
Amarnath Pradhan,Elected,18-May-09,In office,Orissa,Sambalpur,Indian National Congress,Male,Graduate,"B.A., Utkal University, Bhubaneswar, Orissa",55,26,0,187,85%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,35,0.9,382,74%,0,0,GEN,221000,4590188,0.0185827,19,19,19.58,20.61,19.55,18.7,98.42,0.88
Anand Prakash Paranjpe,Elected,18-May-09,In office,Maharashtra,Kalyan,Shiv Sena,Male,Post Graduate,"B.E., M.B.A.; Educated at Pune University, Maharashtra",40,11,0,820,68%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,28.8,1.7,500,74%,0,0,GEN,5810000,6445958,0.0444213,19,19.35,20.79,20.21,20.21,19.55,101.01,1.24
Anandrao Adsul,Elected,18-May-09,In office,Maharashtra,Amravati,Shiv Sena,Male,Graduate,"B.Com.; Educated at Shivaji University, Kolhapur, Maharashtra",66,35,3,1266,74%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,28.8,1.7,500,74%,0,0,SC,6535735,4444123,0.084254801,19,19.35,20.87,23.37,20.74,16.46,85.05,4.41
Anant Gangaram Geete,Elected,18-May-09,In office,Maharashtra,Raigad,Shiv Sena,Male,Matric,"Educated at Mumbai Board (Formerly Pune Board), Ratnagiri (Maharashtra) ",62,55,1,10,73%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,28.8,1.7,500,74%,0,0,GEN,5E+06,3555617,0.1909402,19,19.35,20.7,23.46,20.23,19.24,99.41,1.46
Anant Kumar Hegde,Elected,18-May-09,In office,Karnataka,Uttara Kannada,Bharatiya Janata Party,Male,Inter/ Higher Secondary,"Educated at M.M. Arts and Science College, Sirsi (Karnataka) ",45,14,2,574,72%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,21.2,0.2,350,68%,0,1,GEN,NA,277211,0.0299484,19,19.61,20.64,32.79,19.15,15.77,80.43,4.87
Ananth Kumar,Elected,18-May-09,In office,Karnataka,Bangalore South,Bharatiya Janata Party,Male,Graduate,"B.A., LL.B. (Spl.); Educated at K.S. Arts College and J.S.S. Law College, Karnataka University, Hubli (Karnataka) ",54,23,0,234,84%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,21.2,0.2,350,68%,0,0,GEN,NA,913504,0.041395999,19,19.61,20.08,19.9,19.9,16.71,85.22,3.37
Anantha Venkatarami Reddy,Elected,18-May-09,In office,Andhra Pradesh,Anantapur,Indian National Congress,Male,Post Graduate,"M.A., B.L.; Educated at Sri Venkateswara University and Sri Krishnadevaraya University, Anantapur, Andhra Pradesh",57,14,0,552,74%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,20.3,0.4,339,68%,0,0,GEN,11100000,2890000,0.077904798,19,19,20.18,19.85,19.85,19.22,101.16,0.96
Andimuthu Raja,Elected,18-May-09,In office,Tamil Nadu,Nilgiris,Dravida Munnetra Kazhagam,Male,Post Graduate,"B.Sc., B.L., M.L.; Educated at Government Arts College, Musiri, Distt. Trichy; Government Law College, Madurai and Government Law College, Trichy (Tamil Nadu) ",50,0,0,0,38%,"This MP was a Minister. He tendered his resignation on 14th Nov, 2010. Ministers represent the government in debates, so we do not report their participation. Participation and attendance details for this MP are thus available only from 15th Nov, 2010. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)",25.9,0.5,215,76%,33.9,0.3,303,69%,1,0,SC,4098000,8516228,0.1212067,19,19.03,19.18,20.38,18.83,19.17,100.76,0.01
Anirudhan Sampath,Elected,18-May-09,In office,Kerala,Attingal,Communist Party of India (Marxist),Male,Post Graduate,M.A. (Eco) L.L.M (Constt. Law),51,93,1,400,77%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,69.4,1.5,416,79%,0,0,GEN,8150000,849000,0.025366301,19,19.6,20.92,23.42,21,20.59,105.05,0.33
Annu Tandon,Elected,18-May-09,In office,Uttar Pradesh,Unnao,Indian National Congress,Female,Graduate,"B.Sc. (Chemistry, Zoology and Botany); Dayanand Subhash National Post Graduate College, Unnao (Uttar Pradesh) ",56,30,0,307,93%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,43.9,0.4,254,79%,0,0,GEN,2.12E+08,2.08E+08,0.33397231,19,14.06,14.79,14.32,14.32,12.99,92.37,1.8
Anto Antony,Elected,18-May-09,In office,Kerala,Pathanamthitta,Indian National Congress,Male,Graduate,"B.A.; Educated at St. Thomas College, Palai",56,79,0,618,86%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,69.4,1.5,416,79%,0,0,GEN,461568,962635,0.13950381,19,19.6,21.18,27.91,20.28,21.18,108.06,0
Anup Kumar Saha,Elected,18-May-09,In office,West Bengal,Bardhaman Purba,Communist Party of India (Marxist),Male,Doctorate,"M.B.B.S., M.S. (Surgery), Ph.D. (Pursuing); Educated at Burdwan Medical College, and University College of Medicine, Calcutta, West Bengal",58,21,0,101,87%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,43.5,0.8,175,72%,0,0,SC,4850000,3580944,0.052846301,19,20.14,21.24,20.97,20.97,19.89,98.74,1.35
Anurag Singh Thakur,Elected,18-May-09,In office,Himachal Pradesh,Hamirpur,Bharatiya Janata Party,Male,Graduate,"B.A.; Educated at Doaba College, Jalandhar, Punjab",39,72,1,612,85%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,86.3,0.6,337,92%,0,0,GEN,7.77E+08,9.66E+08,0.1040903,19,19,19.67,19.66,19.66,15.33,80.68,4.34
Arjun Charan Sethi,Elected,18-May-09,In office,Orissa,Bhadrak,Biju Janata Dal,Male,Post Graduate,"M.A.; Educated at K.C. Vidyamandir, Agarpada, Bhadrak College, University College , Vani Vihar, Bhubaneswar, Orissa",72,49,0,199,85%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,35,0.9,382,74%,0,0,SC,10700000,350000,0.059126399,19,19,19.33,16.68,16.82,14.39,75.68,4.95
Arjun Ram Meghwal,Elected,18-May-09,In office,Rajasthan,Bikaner,Bharatiya Janata Party,Male,Post Graduate,"M.A. (Pol. Science); Educated at Sri Dungar College, Bikaner and University of Phillipine, Phillipines",60,430,20,749,99%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,51.5,1,304,88%,0,0,SC,615000,2246024,0.034353901,19,19,19,19.22,19.22,18.61,97.95,0.39
Arjun Roy,Elected,18-May-09,In office,Bihar,Sitamarhi,Janata Dal (United),Male,Doctorate,"Ph.D; Educated at University of Bihar, Bihar",42,28,0,349,92%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,45.1,0.7,331,87%,0,0,GEN,NA,NA,0.1917059,19,19.48,23.47,19.67,19.66,23.47,120.51,-0.01
Arun Subhashchandra Yadav,Elected,18-May-09,In office,Madhya Pradesh,Khandwa,Indian National Congress,Male,Graduate,"B.Com.; Schooling at Daly College, Indore, Madhya Pradesh, S.S. Subdh Jain Commerce College, Jaipur, Rajasthan",40,4,0,25,58%,"This MP was a Minister. He tendered his resignation on 12th Jul, 2011. Ministers represent the government in debates, so we do not report their participation. Participation and attendance details for this MP are thus available only from 13th Jul, 2011. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)",22,0.4,182,76%,30,0.4,148,82%,1,0,GEN,19400000,4E+07,0.0604138,19,19.03,19.63,22.16,18.48,17.83,93.67,1.8
Aruna Kumar Vundavalli,Elected,18-May-09,In office,Andhra Pradesh,Rajahmundry,Indian National Congress,Male,Graduate,"B.Com, B.L.; Educated at Govt. College Rajamundry and C.R. Reddy Law College, Eluru",59,19,0,33,92%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,20.3,0.4,339,68%,0,0,GEN,NA,NA,0.0021094,19,19,20.96,19.42,19.42,18.8,98.95,2.16
Arvind Kumar Chaudhary,Elected,18-May-09,In office,Uttar Pradesh,Basti,Bahujan Samaj Party,Male,Inter/ Higher Secondary,,49,4,0,190,96%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,43.9,0.4,254,79%,0,0,GEN,NA,12900000,0.135969,19,19.06,19.6,21.33,19.23,19.22,100.83,0.38
Arvind Kumar Sharma,Elected,18-May-09,In office,Haryana,Karnal,Indian National Congress,Male,Post Graduate,"B.D.S., M.D.S.; Eduated at Gujarat University, Ahmedabad, M.D. University, Rohtak",50,17,0,93,68%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,13.1,0.1,231,69%,0,0,GEN,7600000,11500000,0.094134703,19,19,19.82,24.52,19.43,19.14,100.74,0.68
Asaduddin Owaisi,Elected,18-May-09,In office,Andhra Pradesh,Hyderabad,All India Majlis-E-Ittehadul Muslimmen,Male,Graduate,"LL.B (London), Bar-At-Law (Lincolns Inn); Educated at Hyderabad Public School, St. Marys Junior College and Nizam College",44,40,1,1129,69%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,20.3,0.4,339,68%,0,1,GEN,6295000,6133013,0.15574311,19,19,20.98,22.56,19.33,18.24,96,2.74
Ashok Argal,Elected,18-May-09,In office,Madhya Pradesh,Bhind,Bharatiya Janata Party,Male,Inter/ Higher Secondary,"Educated at Morena Board of Secondary Education, Madhya Pradesh",45,89,0,180,92%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,46.6,0.4,233,82%,0,0,SC,4144180,3653485,0.036056399,19,19.03,19.83,22,17.29,17.29,90.84,2.54
Ashok Kumar Rawat,Elected,18-May-09,In office,Uttar Pradesh,Misrikh,Bahujan Samaj Party,Male,Post Graduate,"M.A.; Educated at Lucknow University, Lucknow, Uttar Pradesh",38,42,0,819,86%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,43.9,0.4,254,79%,0,0,SC,3300000,4021081,0.0383351,19,19.06,19.63,19.31,19.31,19.64,103.03,-0.01
Ashok Tanwar,Elected,18-May-09,In office,Haryana,Sirsa,Indian National Congress,Male,Post Graduate,"M.A., M.Phil (History); Educated at Jawahar Lal Nehru University, New Delhi",38,4,0,223,79%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,13.1,0.1,231,69%,0,1,SC,21900000,5370857,0.036177699,19,19,19.44,20.72,19.58,18.03,94.89,1.41
Ashwamedh Devi,Elected,18-May-09,In office,Bihar,Ujiarpur,Janata Dal (United),Female,Under Matric,"Educated at Govt. Middle School, Bajitpur Meyari, Sarai Ranjan, Samastipur, Bihar",46,9,0,145,89%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,45.1,0.7,331,87%,0,0,GEN,10300000,4E+05,0.0448636,19,19.48,20.92,25.41,20.92,20.92,107.42,-0.01
Asrarul Haque Mohammad,Elected,18-May-09,In office,Bihar,Kishanganj,Indian National Congress,Male,Post Graduate,"Fazil (M.A.); Educated at Darul Uloom, Deoband, Uttar Pradesh",72,18,0,56,94%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,45.1,0.7,331,87%,0,0,GEN,3300000,275413,0.1280383,19,16.98,19.22,23.84,19.13,19.22,113.23,-0.01
Avtar Singh Bhadana,Elected,18-May-09,In office,Haryana,Faridabad,Indian National Congress,Male,Under Matric,,56,14,0,231,46%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,13.1,0.1,231,69%,0,0,GEN,35300000,7573585,0.1091326,19,19,19.38,19.14,19.14,18.63,98.05,0.75
Awale Jaywant Gangaram,Elected,18-May-09,In office,Maharashtra,Latur,Indian National Congress,Male,Inter/ Higher Secondary,,73,51,0,350,91%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,28.8,1.7,500,74%,0,0,SC,26600000,3902696,0.009615501,19,19.35,20.81,34.61,20.51,19.83,102.46,0.98
Babu Lal Marandi,Elected,18-May-09,In office,Jharkhand,Kodarma,Jharkhand Vikas Morcha (Prajatantrik),Male,Graduate,"Educated at Ranchi University, Ranchi, Jharkhand",56,2,0,0,29%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,38.8,0.8,251,66%,0,0,GEN,1300000,837675,0.062162299,19,19.14,19.4,20.51,11.9,11.1,57.99,8.3
Badri Ram Jakhar,Elected,18-May-09,In office,Rajasthan,Pali,Indian National Congress,Male,Under Matric,,61,24,0,513,88%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,51.5,1,304,88%,0,0,GEN,36300000,42700000,0.27213329,19,19,19.72,23.73,19.4,18.92,99.58,0.8
Badruddin Ajmal,Elected,18-May-09,In office,Assam,Dhubri,Assam United Democratic Front,Male,Post Graduate,"Fazil-e-Deoband (Masters in Islamic Theology and Arabic); Educated at Darul Uloom, Deoband, Uttar Pradesh",64,30,0,320,49%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,22.1,0.5,83,80%,0,0,GEN,2.7E+08,32100000,0.1761433,19,19,19.48,19.29,19.29,17.46,91.89,2.02
Baidyanath Prasad Mahto,Elected,18-May-09,In office,Bihar,Valmiki Nagar,Janata Dal (United),Male,Matric,"Educated at H.S. Bathanaha, West Champaran (Bihar) ",66,28,0,301,92%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,45.1,0.7,331,87%,0,0,GEN,3100000,1328802,0.3069194,19,19.48,19.93,19.46,20.29,19.93,102.34,-0.01
Baijayant Jay Panda,Elected,18-May-09,In office,Orissa,Kendrapara,Biju Janata Dal,Male,Graduate,"Dual Degree Course in Engineering and Management in Communications; Educated at Michigan Technological University, U.S.A.",50,18,12,878,66%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,35,0.9,382,74%,0,0,GEN,72800000,8.9E+07,0.1293039,19,19,19.63,20.66,19.31,17.09,89.95,2.54
Baju Ban Riyan,Elected,18-May-09,In office,Tripura,Tripura East,Communist Party of India (Marxist),Male,Graduate,"B.Sc.; Educated at Maharaja Bira Bikram College, Agartala, Tripura",72,6,0,0,85%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,21.5,0.5,155,80%,0,0,ST,798901,1924025,0.36003259,19,7.5,7.96,7.95,7.95,7.49,99.87,0.47
Bal Kumar Patel,Elected,18-May-09,In office,Uttar Pradesh,Mirzapur,Samajwadi Party,Male,Inter/ Higher Secondary,"Educated at Bhauri Intermediate College, Distt. Chitrakoot, Uttar Pradesh",50,11,0,280,80%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,43.9,0.4,254,79%,0,1,GEN,1.4E+07,8978000,0.026856599,19,19.06,19.64,19.52,19.48,19.45,102.03,0.19
Baliram,Elected,18-May-09,In office,Uttar Pradesh,Lalganj,Bahujan Samaj Party,Male,Doctorate,"M.A., M.Ed., Ph.D.; Educated at Banaras Hindu University (BHU), Varanasi, Uttar Pradesh",59,51,0,351,94%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,43.9,0.4,254,79%,0,0,SC,5439454,1590862,0.060667101,19,19.06,19.81,19.71,19.81,15.23,79.9,4.58
Balkrishna Khanderao Shukla,Elected,18-May-09,In office,Gujarat,Vadodara,Bharatiya Janata Party,Male,Post Graduate,"B.Sc., MBA (HRM); Educated at M.S. University of Baroda, Vadodara (Gujarat) ",50,27,1,254,65%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,41,1.4,382,76%,0,0,GEN,NA,NA,0.1820676,19,19.08,20.28,27.41,18.33,17.4,91.21,2.88
Bansagopal Chowdhury,Elected,18-May-09,In office,West Bengal,Asansol,Communist Party of India (Marxist),Male,Graduate,"Educated at T.D.B. College, Raniganj, West Bengal",54,24,0,43,61%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,43.5,0.8,175,72%,0,0,GEN,1050000,442302,0.0816333,19,20.14,21.25,20.91,20.91,19.29,95.77,1.96
Bapiraju Kanumuri,Elected,18-May-09,In office,Andhra Pradesh,Narsapuram,Indian National Congress,Male,Inter/ Higher Secondary,Educated at Hyderabad Public School,66,11,0,0,87%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,20.3,0.4,339,68%,0,0,GEN,2.4E+07,6577013,0.1157375,19,16.5,17.57,18.88,18.88,17.27,104.67,0.3
Basori Singh Masram,Elected,18-May-09,In office,Madhya Pradesh,Mandla,Indian National Congress,Male,Under Matric,"Educated at Higher Secondary School, Bichhiya and Middle School, Tatri, Distt. Mandla, Madhya Pradesh",68,1,0,10,84%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,46.6,0.4,233,82%,0,0,ST,2450000,1071178,0.075681798,19,19.03,19.51,25.37,16.04,15.18,79.75,4.33
Basudeb Acharia,Elected,18-May-09,In office,West Bengal,Bankura,Communist Party of India (Marxist),Male,Post Graduate,"M.A., B.T.; Educated at Ranchi University, Ranchi, Bihar and Calcutta University, Calcutta, West Bengal",71,143,7,218,88%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,43.5,0.8,175,72%,0,0,GEN,583000,2731036,0.1094877,19,20.14,21.54,23.12,22.85,21.54,106.94,0
Beni Prasad Verma,Elected,18-May-09,In office,Uttar Pradesh,Gonda,Indian National Congress,Male,Graduate,"B.A., LL.B.; Educated at Lucknow University, Lucknow, Uttar Pradesh",73,2,0,0,99%,"This MP was appointed a minister in Jan, 2011.  Ministers represent the government, so we do not report their participation.  Participation and attendance details for this MP are thus available only till 13th Dec, 2010. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)",12.5,0.3,103,76%,15.5,0.2,79,79%,1,0,GEN,NA,1025574,0.039116502,19,19.06,19.75,19.33,19.33,19.36,101.56,0.39
Bhakta Charan Das,Elected,18-May-09,In office,Orissa,Kalahandi,Indian National Congress,Male,Graduate,"B.A., LL.B.; Educated at Government College, Bhawanipatna, Kalahandi, Orissa and L. R. Law College, Sambalpur (Orissa) ",55,51,1,252,90%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,35,0.9,382,74%,0,0,GEN,5100000,1499130,0.1574388,19,19,19.68,19.53,16.21,14.77,77.74,4.91
Bharat Ram Meghwal,Elected,18-May-09,In office,Rajasthan,Ganganagar,Indian National Congress,Male,Graduate,"B.A., B.Ed.; Educated at Rajasthan University, Jaipur and Kota",58,18,0,200,90%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,51.5,1,304,88%,0,0,SC,3800000,1106000,0.1546433,19,19,19.67,23.26,19.53,18.82,99.05,0.85
Bharatsinh Madhavsinh Solanki,Elected,18-May-09,In office,Gujarat,Anand,Indian National Congress,Male,Graduate,B.E. (Civil); Educated at Birla Vishwakarma Mahavidyalay,60,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.Â  They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,0,GEN,9803000,3944596,0.099570602,19,19.08,20.74,21.13,19.58,18.18,95.3,2.56
Bhartruhari Mahtab,Elected,18-May-09,In office,Orissa,Cuttack,Biju Janata Dal,Male,Post Graduate,"M.A. (English); Educated at Utkal University, (Orissa) ",56,234,1,395,94%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,35,0.9,382,74%,0,0,GEN,35700000,17600000,0.29046381,19,19,19.55,20.1,16.16,15,78.95,4.55
Bhavana Pundlikrao Gawali Patil,Elected,18-May-09,In office,Maharashtra,Yavatmal-Washim,Shiv Sena,Female,Graduate,"B.A. (Marathi); Educated at Amravati University, Amravati (Maharashtra) ",40,19,0,360,67%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,28.8,1.7,500,74%,0,0,GEN,NA,NA,0.0677936,19,19.35,20.62,25.58,20.15,18.19,93.98,2.43
